nome,cpf,senha,cargo
Julya,15987463288,353535,Socio
Paulo Ricardo,35784169589,676767,Atendente
Marcos Oliveira,12345678900,senha123,dono  
Paula Fernandes,98765432199,abc98765,atendente  
Bruno Cardoso,45612378901,qwe45678,limpeza  
Aline Moraes,32178965432,zxcvbn90,socio  
Renato Silva,74185296300,minhasenha,limpeza 
Thaís Andrade,85296374188,senha2024,atendente  
Felipe Nunes,36925814777,pass1234,limpeza  
Luciana Lopes,15975348622,secure89,socio  
André Mendes,75395145633,testpass,limpeza  
Carla Ribeiro,65478932111,qazwsx12,atendente 
