nome,cpf,senha,cref,especialidade
Paulo Roberto,85236974122,paulinho,CREF913228-RJ,Musculação
Rodrigo Martins,12345678901,senha123,CREF123456-MG,Educação Corporal Infantil 
Fernanda Souza,98765432109,abc98765,CREF987654-SP,Treinamento para Emagrecimento  
Gustavo Lima,45678912300,meupast9,CREF456789-RJ,Hipertrofia Muscular
Juliana Castro,32165498777,qwerty90,CREF321654-BA,Treinamento para Idosos
André Silva,74185296341,forte2024,CREF741852-RS,Condicionamento Fisico
Bianca Torres,85296374155,senha456,CREF852963-PE,Preparação Fisica Esportiva 
Rafael Gomes,96325874123,testpass,CREF963258-PR,Alongamento e Mobilidade
Camila Andrade,15935725866,abc12345,CREF159357-MG,Avaliação Fisica
Lucas Ribeiro,75315985236,pass7890,CREF753159-SP,Psicomotricidade 
Mariana Duarte,65498732144,segura99,CREF654987-RJ,Atividade Física Adaptada
